year,president,allnoncerm_eo,divided,lame_duck,war,trend,administration_change,spending_percent_gdp,inflation,averagemajsize,lnlegexp,lncommtot1,lneopexp,postlra,tr,taft,wilson,harding,coolidge,hoover,fdr,truman,ike,jfk,lbj,nixon,ford,carter,reagan,bush41,clinton,bush43,obama
1925,coolidge,307,0,0,0,20,0,4,2.509999990463257,0.5415822267532349,4.953303813934326,5.648094177246094,-3.146554946899414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,coolidge,232,0,0,0,21,0,3.690000057220459,0.9700000286102295,0.5762149095535278,5.067543029785156,5.641907215118408,-3.055237054824829,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,coolidge,265,0,0,0,22,0,3.700000047683716,-1.8600000143051147,0.5762149095535278,5.2786760330200195,5.635682106018066,-2.6578030586242676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,coolidge,319,0,1,0,23,0,3.7699999809265137,-1.3799999952316284,0.5315310955047607,5.114840030670166,5.629417896270752,-2.8266561031341553,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,hoover,200,0,0,0,24,0,3.680000066757202,0,0.5315310955047607,5.197033882141113,5.623115062713623,-3.0079269409179688,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,hoover,267,0,0,0,25,0,4.340000152587891,-2.509999990463257,0.6039000153541565,5.353784084320068,5.616771221160889,-2.6236629486083984,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,hoover,247,1,0,0,26,0,5.369999885559082,-8.800000190734863,0.6039000153541565,5.637916088104248,5.630495071411133,-2.8251760005950928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,hoover,303,1,0,0,27,0,7.269999980926514,-10.3100004196167,0.5087682008743286,5.892666816711426,5.644032001495361,-2.8795690536499023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,fdr,471,0,0,0,28,1,9.050000190734863,-5.119999885559082,0.5087682008743286,5.678950786590576,5.657390117645264,-2.991658926010132,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1934,fdr,473,0,0,0,29,0,9,3.319999933242798,0.6793401837348938,5.429882049560547,5.670569896697998,-3.0721259117126465,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1935,fdr,393,0,0,0,30,0,10.300000190734863,2.5399999618530273,0.6793401837348938,5.515295028686523,5.683579921722412,-2.8490140438079834,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1936,fdr,273,0,0,0,31,0,10.9399995803833,0.949999988079071,0.7471281290054321,5.594775199890137,5.712906837463379,-2.936357021331787,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
